Restaurant Name,Location,City,Cuisines,Average Cost for Two,Currency,Has Table Booking,Has Online Delivery,Aggregate Rating,Rating Color,Rating Text,Votes,Restaurant Type,Address,Phone Number
Roberts-Nguyen, hsr ,Bangalore,South Indian,600.0,INR,No,No,4.0,Red,Very Good,6376.0,Casual Dining,"15176 Katrina Crossing, Christinaborough, RI 37163",2600253450
Mendoza-Ryan, jayanagar ,Bangalore,Italian,600.0,INR,Yes,No,2.8,Yellow,Excellent,2356.0,Quick Bites,"521 Nguyen Loaf Suite 519, Phillipsborough, OH 44638",(738)938-7538
Thompson-Spencer, indiranagar ,Bangalore,Mexican,448.9606039661864,INR,Yes,No,2.9,Red,Average,5473.0,Cafe,"26849 Craig Isle, New Stevenburgh, NE 76475",054.090.5055
"Tyler, Skinner And Brown", koramangala ,Bangalore,South Indian,300.0,INR,Yes,No,3.9,Yellow,Very Good,3330.0,Cafe,"5437 Rebecca Roads, North Wendybury, DC 78794",242-078-2326
"Jackson, Oliver And Todd", hsr ,Bangalore,North Indian,300.0,INR,Yes,Yes,2.4,Orange,Poor,4523.0,Delivery,"2954 Phillips Ford Apt. 489, New Matthewside, MS 07426",(289)756-4687x1278
Salazar-Marshall, btm ,Bangalore,South Indian,400.0,INR,Yes,No,3.506421052631579,Red,Average,3036.0,Casual Dining,"31694 Stephen Camp, West Antonio, VT 42489",2509980631
Harrison Inc, jayanagar ,Bangalore,Italian,200.0,INR,No,No,2.6,Green,Excellent,5022.522421052631,Casual Dining,"514 Karen Vista Suite 048, North Johnhaven, MO 44432",001-883-538-3445x186
Flynn-Randall, jayanagar ,Bangalore,Mexican,500.0,INR,No,Yes,3.3,Yellow,Very Good,5672.0,Quick Bites,"7709 Jennifer Stravenue, Jeffreyshire, MA 68162",+1-489-553-0681x41116
Wright Plc, btm ,Bangalore,Mexican,400.0,INR,No,No,3.8,Red,Average,475.0,Casual Dining,"3084 Anna Track Apt. 013, Alanborough, NV 10368",584.664.6660x2066
Blevins Llc, koramangala ,Bangalore,Chinese,300.0,INR,No,Yes,4.7,Green,Good,9910.0,Delivery,"8304 Julie Knoll, Nashville, WY 15035",645.045.0344
Shannon-Miller, btm ,Bangalore,Italian,500.0,INR,No,Yes,3.2,Yellow,Good,5028.0,Delivery,"9743 Robinson Prairie Suite 004, Lake Michael, WA 10119",001-964-200-7758x90314
Bentley-Barrett, whitefield ,Bangalore,North Indian,600.0,INR,No,Yes,2.5,Red,Average,6461.0,Delivery,"36988 Kevin Loaf Apt. 307, Emilytown, VT 97054",+1-916-140-0323x92073
Castillo Llc, btm ,Bangalore,Chinese,300.0,INR,Yes,Yes,2.7,Red,Average,6817.0,Casual Dining,"Unit 0900 Box 4062, DPO AP 89899",(704)129-9231x8380
Chang-Scott, whitefield ,Bangalore,Unknown,200.0,INR,No,Yes,3.506421052631579,Yellow,Excellent,9991.0,Cafe,"Unit 1078 Box 0651, DPO AE 76160",001-380-464-6243x765
"Cook, Smith And Rodriguez", jayanagar ,Bangalore,Mexican,400.0,INR,No,Yes,4.0,Green,Poor,3257.0,Delivery,"8747 Townsend Grove, Lake Francisco, LA 83056",029-239-9570
Gill-Rubio, indiranagar ,Bangalore,Italian,700.0,INR,No,Yes,2.7,Red,Excellent,9940.0,Casual Dining,"6905 Guerrero Crest, North John, OR 61991",001-346-310-8950x2504
Schwartz And Sons, whitefield ,Bangalore,Italian,500.0,INR,No,No,3.3,Orange,Very Good,5.0,Delivery,"54196 Finley Ridges Suite 027, Reynoldsbury, WY 22666",-10647
"Fowler, Harrington And Griffin", btm ,Bangalore,North Indian,600.0,INR,Yes,No,2.9,Green,Very Good,1322.0,Dessert Parlor,"83195 Angela Parkway Apt. 404, West Zacharyburgh, KY 93232",001-099-963-2019x301
Pierce Ltd, whitefield ,Bangalore,Unknown,700.0,INR,No,Yes,2.2,Orange,Excellent,9927.0,Delivery,"9448 Jackson Via, South Alexis, MT 83615",+1-877-611-7040x29215
Gutierrez Group, indiranagar ,Bangalore,Italian,400.0,INR,No,No,3.2,Green,Good,5022.522421052631,Quick Bites,"2490 Alison Mall Suite 643, Knightborough, CT 51892",770.049.4582
"Mcdaniel, Mcdaniel And Cook", hsr ,Bangalore,Mexican,400.0,INR,No,No,3.2,Red,Very Good,8958.0,Delivery,"8739 Pierce Locks Suite 079, Briggsland, KY 85770",882-578-8513x5036
Thomas-Mcbride, btm ,Bangalore,North Indian,200.0,INR,No,No,2.0,Green,Good,9101.0,Cafe,"370 Davis Falls Apt. 463, Port Cody, AL 85073",001-137-573-1883x178
"Gutierrez, Parks And Jackson", whitefield ,Bangalore,Chinese,700.0,INR,No,Yes,3.7,Red,Excellent,2049.0,Delivery,"1086 Booth Crescent Suite 465, Lake Brentchester, IL 00501",+1-667-657-4854x1820
Garcia-Olsen, btm ,Bangalore,Continental,600.0,INR,No,No,3.1,Yellow,Average,6701.0,Dessert Parlor,"67285 Hernandez Cliffs Suite 595, South Timothyland, MS 95480",(497)121-8856x80313
"Crane, Nguyen And Roach", whitefield ,Bangalore,Italian,448.9606039661864,INR,No,Yes,5.0,Red,Poor,5792.0,Cafe,"97805 Victoria Mountain Apt. 628, Davisview, NJ 22615",(882)040-2679x02999
Johnson-Booth, hsr ,Bangalore,North Indian,600.0,INR,Yes,No,3.1,Yellow,Poor,4711.0,Dessert Parlor,"6045 Ann Court Suite 244, Rhondachester, KY 71940",840-052-3026
Walls-Neal, btm ,Bangalore,Mexican,600.0,INR,No,Yes,5.0,Orange,Good,1604.0,Delivery,"9605 Bridges Parks, Robertsonland, NH 75563",432-720-8773x7817
"Simmons, Williams And Johnson", btm ,Bangalore,North Indian,600.0,INR,No,No,4.3,Red,Poor,9565.0,Casual Dining,"067 Cervantes Lock, West Brian, OR 11744",001-917-429-0032x8958
"Murphy, Henderson And Fields", koramangala ,Bangalore,South Indian,200.0,INR,Yes,Yes,3.4,Yellow,Average,8191.0,Dessert Parlor,"45308 Contreras Centers, West Jack, SD 34996",(156)501-8727x62819
Torres-Williams, btm ,Bangalore,Italian,700.0,INR,Yes,Yes,2.6,Orange,Good,4790.0,Cafe,"55945 Deborah Square, Lauriebury, GA 17914",515.016.5361
Macias And Sons, hsr ,Bangalore,Unknown,700.0,INR,Yes,Yes,3.0,Yellow,Average,9747.0,Casual Dining,"5484 Huynh Ridge Suite 005, Myersstad, FL 86234",961.363.5406
Knapp-Ortega, koramangala ,Bangalore,North Indian,400.0,INR,No,Yes,4.9,Green,Excellent,993.0,Quick Bites,"43737 Andrew Freeway, East Angelaport, LA 72685",(783)024-8058x2680
"Bradley, Coleman And Torres", whitefield ,Bangalore,Continental,400.0,INR,No,Yes,2.7,Orange,Average,8230.0,Dessert Parlor,"89711 William Drive, South Brian, DE 52085",+1-600-604-3277x14217
Herrera Plc, btm ,Bangalore,Unknown,200.0,INR,No,No,3.0,Green,Very Good,2695.0,Cafe,"602 Castillo Shoal Apt. 183, East Eric, CT 97979",+1-824-245-5331x7328
Martin-Harris, indiranagar ,Bangalore,Italian,700.0,INR,Yes,No,3.7,Yellow,Poor,5022.522421052631,Cafe,"0956 Wolfe Dam Suite 378, East Daniel, NY 22117",6825391996
Odom Inc, jayanagar ,Bangalore,South Indian,300.0,INR,Yes,Yes,4.6,Yellow,Very Good,6866.0,Dessert Parlor,"055 Katherine Stravenue Apt. 147, West Bradleyville, NC 92883",001-426-005-4257
"Fisher, Glenn And Davis", whitefield ,Bangalore,Italian,400.0,INR,Yes,Yes,4.9,Green,Poor,2656.0,Delivery,"325 Roberts Street, Smithmouth, NE 49222",510529214
Branch Plc, indiranagar ,Bangalore,Italian,500.0,INR,No,No,2.7,Red,Good,2792.0,Casual Dining,"0399 Cohen Isle Apt. 519, Brendachester, GA 42979",001-224-813-0517x035
Price-Turner, whitefield ,Bangalore,Continental,448.9606039661864,INR,Yes,No,2.8,Red,Good,447.0,Cafe,"63110 Freeman Prairie, South Aaron, AK 85712",921.521.3493
Kennedy Group, koramangala ,Bangalore,Mexican,300.0,INR,Yes,No,2.8,Orange,Poor,7585.0,Dessert Parlor,"65492 Kathleen Ferry, New Tammy, NY 02144",(000)353-4272
Cabrera Llc, hsr ,Bangalore,Mexican,200.0,INR,No,Yes,2.3,Orange,Very Good,6637.0,Dessert Parlor,"902 Henry Street, Jamesburgh, NM 77142",191-277-4635
Torres Ltd, whitefield ,Bangalore,Continental,400.0,INR,Yes,Yes,4.8,Orange,Poor,5022.522421052631,Dessert Parlor,"538 Patricia Pine Suite 144, South Rebeccaton, OH 26616",001-040-972-5905x499
Gallegos-Patton, jayanagar ,Bangalore,Continental,200.0,INR,Yes,Yes,4.2,Green,Poor,4964.0,Casual Dining,"380 Brown Orchard, South Charles, OK 42449",-5868
"Owens, Foster And Garcia", jayanagar ,Bangalore,Continental,300.0,INR,No,Yes,2.0,Yellow,Excellent,6103.0,Delivery,"PSC 3954, Box 9714, APO AE 09494",200.849.8776x9963
Bonilla And Sons, koramangala ,Bangalore,Mexican,200.0,INR,Yes,Yes,3.7,Orange,Good,5623.0,Quick Bites,"622 Tammy Oval, South Michael, KY 15028",9885258506
"Hart, Johnson And Young", indiranagar ,Bangalore,Continental,500.0,INR,No,No,2.9,Yellow,Very Good,7756.0,Casual Dining,"666 Edward Square Apt. 833, Port Aliciaborough, WY 53635",015-786-3704x011
Herrera Inc, jayanagar ,Bangalore,North Indian,700.0,INR,No,Yes,4.9,Orange,Average,3439.0,Cafe,"526 Duncan Corner, East Jody, MI 57980",001-143-830-2465x8813
Hayes Inc, btm ,Bangalore,North Indian,500.0,INR,Yes,Yes,2.8,Orange,Poor,5323.0,Cafe,"4232 Colton Springs Suite 489, Heatherfurt, TX 74797",606-163-4059x699
Adams Ltd, indiranagar ,Bangalore,North Indian,500.0,INR,Yes,No,4.8,Orange,Very Good,2217.0,Cafe,"147 Vicki Ridge, Jenkinsside, MS 39318",680-695-3084
Reed Llc, whitefield ,Bangalore,North Indian,300.0,INR,No,No,3.7,Red,Good,5170.0,Dessert Parlor,"2789 Guzman Curve Suite 206, Robinsonburgh, HI 77841",986840258
"Moran, Yang And Williams", jayanagar ,Bangalore,North Indian,300.0,INR,No,Yes,3.2,Orange,Excellent,5139.0,Delivery,"522 Simmons Vista, Davidmouth, CO 78983",044.350.7789x7985
"Walker, Torres And Murray", indiranagar ,Bangalore,Chinese,300.0,INR,Yes,No,4.1,Yellow,Average,1804.0,Cafe,"666 Mitchell Turnpike Apt. 633, South Kellyside, MD 59359",001-265-697-0465x126
Stevens Ltd, indiranagar ,Bangalore,Unknown,700.0,INR,Yes,Yes,4.0,Green,Excellent,2275.0,Quick Bites,"Unit 5356 Box 2679, DPO AP 04162",941-192-0252x1133
"Banks, Hoffman And David", btm ,Bangalore,Continental,500.0,INR,Yes,No,2.2,Red,Good,3512.0,Quick Bites,"04021 Jo Meadow, Christopherhaven, WY 11578",(709)019-7094
Garcia Inc, whitefield ,Bangalore,Continental,600.0,INR,Yes,Yes,4.8,Yellow,Excellent,9603.0,Dessert Parlor,"96851 Aguilar Fork Suite 292, South Pamelaborough, CT 62444",508-268-1866x51063
Randolph Llc, indiranagar ,Bangalore,North Indian,500.0,INR,Yes,No,4.8,Green,Very Good,4020.0,Casual Dining,"2381 Miguel Groves, North Hollyview, TN 80025",(640)682-2098
Wells Ltd, jayanagar ,Bangalore,Chinese,300.0,INR,No,No,3.7,Orange,Good,7729.0,Delivery,"275 Owens Loaf, Port Brittany, MD 92514",664-500-8351
"Atkinson, Hoffman And Wright", whitefield ,Bangalore,Continental,500.0,INR,Yes,Yes,2.7,Red,Good,5484.0,Cafe,"PSC 4201, Box 9490, APO AA 45756",+1-893-654-6730x1645
Perry And Sons, koramangala ,Bangalore,Continental,200.0,INR,No,Yes,4.9,Yellow,Very Good,1302.0,Quick Bites,"111 Lauren Turnpike Apt. 330, Robertberg, OK 95477",001-547-424-0307x780
"Walker, Wilcox And Weiss", indiranagar ,Bangalore,Unknown,448.9606039661864,INR,Yes,No,4.3,Yellow,Good,7341.0,Casual Dining,"15096 Thompson Village, New Martinmouth, SC 05899",886-079-6983x8086
"Hernandez, Adams And Russell", jayanagar ,Bangalore,Italian,200.0,INR,No,No,3.1,Green,Very Good,4795.0,Dessert Parlor,"94919 Denise Forges Suite 014, North Robertmouth, WA 77836",(797)601-4727x8555
King Llc, koramangala ,Bangalore,Continental,600.0,INR,No,No,4.2,Orange,Poor,2692.0,Delivery,"9926 Martin Plaza Suite 022, Daviston, VA 64838",214.094.6751
"Lindsey, Wright And Brown", whitefield ,Bangalore,North Indian,600.0,INR,Yes,No,3.506421052631579,Red,Average,3704.0,Dessert Parlor,"883 Carly Passage Apt. 131, Lake Jacobstad, OK 15055",(972)985-3381
Evans-Velasquez, koramangala ,Bangalore,North Indian,600.0,INR,Yes,No,3.2,Green,Excellent,711.0,Casual Dining,"9140 Angela Fords, Seanshire, CA 26107",551-382-4654
Hughes-Brown, btm ,Bangalore,Italian,300.0,INR,Yes,Yes,2.1,Green,Poor,5477.0,Cafe,"USNV Olson, FPO AA 09473",(454)738-7257x054
Jennings Group, hsr ,Bangalore,North Indian,300.0,INR,No,No,4.8,Orange,Good,7934.0,Delivery,"905 Jeremy Summit, Burchbury, NM 28794",(907)602-2590
Briggs Ltd, whitefield ,Bangalore,Mexican,600.0,INR,No,Yes,4.2,Yellow,Good,2164.0,Delivery,"0762 Terry Forge, Aliciaport, AL 15412",599-046-5458x738
"Davis, Young And Foster", hsr ,Bangalore,Italian,400.0,INR,Yes,Yes,3.5,Orange,Good,5957.0,Delivery,"90958 Tyler Islands Suite 854, Austinmouth, IN 86426",-1987
Landry-Thompson, btm ,Bangalore,Chinese,700.0,INR,No,Yes,4.6,Orange,Good,6508.0,Casual Dining,"538 Smith Forges, West Mary, ME 16214",001-020-468-9226x72268
Thompson Ltd, hsr ,Bangalore,Chinese,700.0,INR,No,No,3.8,Orange,Poor,8022.0,Quick Bites,"324 Tim Trail Apt. 182, Timothyview, RI 63237",(977)394-8262x128
Hines Inc, indiranagar ,Bangalore,Unknown,500.0,INR,No,No,2.0,Yellow,Excellent,3297.0,Cafe,"435 Wolf Ferry Apt. 783, West Christopher, MD 91672",283-531-5122x8761
Foster And Sons, btm ,Bangalore,Continental,200.0,INR,No,Yes,3.1,Yellow,Good,1620.0,Dessert Parlor,"0535 Autumn Course, Port Brooke, OK 40696",6293725
"Cervantes, Ray And Owen", whitefield ,Bangalore,Continental,600.0,INR,No,Yes,3.6,Orange,Good,4385.0,Casual Dining,"803 Sanchez Estate Suite 544, North Dennis, UT 63021",001-755-168-1034x43982
Schwartz-Hester, hsr ,Bangalore,North Indian,600.0,INR,No,No,3.1,Green,Excellent,6500.0,Quick Bites,"908 Mcintosh Spring Suite 488, Brianmouth, OH 77563",596-678-5400x093
Preston And Sons, whitefield ,Bangalore,Continental,500.0,INR,No,No,2.9,Green,Very Good,5022.522421052631,Delivery,"6196 Joseph Falls Suite 523, North Robertview, LA 70626",720.401.6959x0164
Johnson Plc, indiranagar ,Bangalore,Mexican,700.0,INR,Yes,Yes,2.7,Orange,Excellent,9814.0,Cafe,"421 Johnson Well, South Juan, AZ 88501",(511)558-4314x05754
"Rodriguez, Barry And Bailey", whitefield ,Bangalore,North Indian,300.0,INR,No,Yes,4.4,Red,Average,7772.0,Quick Bites,"30216 Acosta Branch Suite 717, Crossbury, KS 41884",(051)468-3691
Carter-Sutton, whitefield ,Bangalore,Unknown,448.9606039661864,INR,No,No,3.4,Yellow,Good,6504.0,Quick Bites,"88979 Mary Plains Apt. 259, Ashleystad, DE 84395",388-810-5628x49894
"Pierce, Greene And Glass", koramangala ,Bangalore,South Indian,600.0,INR,Yes,No,2.1,Orange,Good,5207.0,Delivery,"84947 Rollins Locks Apt. 804, Baxterview, SC 41666",(452)512-2481
Gilmore-Parker, btm ,Bangalore,Italian,200.0,INR,Yes,Yes,4.7,Orange,Good,5022.522421052631,Dessert Parlor,"USCGC Bradley, FPO AE 94296",001-714-408-8840x96790
Peterson-Fuentes, indiranagar ,Bangalore,South Indian,500.0,INR,No,No,3.5,Green,Good,1154.0,Cafe,"5456 Jacob Turnpike Suite 905, New Brianstad, SD 83363",(949)636-7543x307
"Smith, Brown And Garcia", btm ,Bangalore,Continental,700.0,INR,No,Yes,4.8,Orange,Excellent,9911.0,Quick Bites,"74144 Jennifer Summit, New Alexis, OR 51653",944.540.9120
Stephens-Davis, koramangala ,Bangalore,South Indian,400.0,INR,Yes,No,2.9,Yellow,Good,5.0,Casual Dining,"83822 Walter Avenue, Davidstad, AL 62748",4601152893
"Robertson, Mays And Richards", btm ,Bangalore,Mexican,448.9606039661864,INR,No,Yes,4.0,Orange,Average,8552.0,Casual Dining,"3894 Anthony Prairie, Port Maryton, AZ 28466",-3910
Foster Inc, whitefield ,Bangalore,South Indian,200.0,INR,No,Yes,4.2,Red,Poor,4733.0,Quick Bites,"988 Tammy Port, Veronicaland, TX 00636",071.108.2340x556
"Gill, Miller And Jones", whitefield ,Bangalore,North Indian,200.0,INR,Yes,Yes,2.8,Green,Excellent,9474.0,Casual Dining,"2589 Baker Viaduct Apt. 678, North Jerry, RI 88020",544.068.7449
"Cabrera, Hobbs And Welch", hsr ,Bangalore,South Indian,600.0,INR,Yes,No,5.0,Yellow,Good,3504.0,Quick Bites,"39844 Jay Lane, Port Beckybury, OK 69654",557-417-5408
Gross Ltd, indiranagar ,Bangalore,North Indian,500.0,INR,No,Yes,3.0,Red,Excellent,7641.0,Cafe,"49504 Lee Knoll, West Nicholasmouth, WY 77573",557.855.8547x4570
"Brown, Middleton And Barrera", hsr ,Bangalore,Chinese,200.0,INR,No,No,3.4,Red,Very Good,3271.0,Quick Bites,"9222 Ashley Crossing Apt. 438, North Kenneth, FL 52598",001-565-828-0634x0870
"Meyer, Collins And Gilbert", jayanagar ,Bangalore,Mexican,700.0,INR,No,No,3.2,Yellow,Poor,1302.0,Casual Dining,"4066 Robin Branch, New Cameronmouth, VT 15623",853-779-8739
"Blevins, Smith And Ellis", btm ,Bangalore,North Indian,300.0,INR,No,No,2.7,Green,Average,5022.522421052631,Cafe,"PSC 1691, Box 4701, APO AE 64560",201.278.0032
Perez-Carlson, whitefield ,Bangalore,Chinese,300.0,INR,Yes,Yes,2.4,Orange,Excellent,5315.0,Casual Dining,"8923 Ibarra Walks Suite 438, West Jessicachester, CO 23906",+1-077-150-9454x7064
"Banks, Lewis And Jones", koramangala ,Bangalore,Chinese,600.0,INR,Yes,Yes,4.7,Green,Poor,9824.0,Casual Dining,"53466 John Throughway Apt. 231, Brandyfort, WI 53790",160.454.5858
"Bentley, Edwards And Silva", whitefield ,Bangalore,Continental,448.9606039661864,INR,No,No,3.1,Yellow,Good,5022.522421052631,Cafe,"70256 Benjamin Prairie Suite 085, Estradastad, NH 08422",001-925-992-1298x105
Rodriguez-Lowe, indiranagar ,Bangalore,Continental,400.0,INR,No,Yes,3.9,Yellow,Good,3140.0,Delivery,"86068 Jimenez Rapid Suite 915, Estradaton, PA 19026",089.800.9880x1199
Williams-Walker, whitefield ,Bangalore,South Indian,300.0,INR,No,Yes,3.9,Yellow,Excellent,1794.0,Quick Bites,"2104 Judy Crest, Danielmouth, NV 35596",+1-517-348-6634x12723
Smith-Pollard, hsr ,Bangalore,Mexican,600.0,INR,Yes,No,4.6,Red,Excellent,4449.0,Quick Bites,"267 Johnson Roads Suite 207, Brucefort, MI 88884",(914)144-0144x501
"White, Tran And Mercado", jayanagar ,Bangalore,Continental,448.9606039661864,INR,Yes,Yes,3.506421052631579,Yellow,Excellent,5328.0,Casual Dining,"3227 Ryan Parkway Apt. 421, South Brianside, NY 82562",(293)791-1520
Campos-Smith, koramangala ,Bangalore,Italian,300.0,INR,Yes,No,4.4,Red,Average,8226.0,Quick Bites,"356 Davis Rue, Martinezside, GA 61781",610-737-4073x73178
Johnson Ltd, indiranagar ,Bangalore,South Indian,300.0,INR,Yes,No,2.2,Orange,Good,7671.0,Delivery,"0402 Edward Islands, Lake Calebborough, LA 99855",093-816-8248x986
"Wilkinson, Vasquez And Osborne", jayanagar ,Bangalore,South Indian,448.9606039661864,INR,Yes,No,4.8,Green,Poor,6255.0,Casual Dining,"00826 Alexander Stravenue, Sheenaton, LA 48389",+1-961-221-7453x6984
Weaver And Sons, btm ,Bangalore,South Indian,700.0,INR,No,No,3.7,Red,Excellent,5836.0,Delivery,"2033 Anthony Rapid Apt. 897, East Christopher, AL 43693",001-956-410-3273x7656
"Benitez, Bates And Gallegos", indiranagar ,Bangalore,Unknown,400.0,INR,Yes,No,3.1,Green,Very Good,9085.0,Cafe,"121 Antonio Pass, Lake Marcus, IL 78296",461637327
"French, Ruiz And Singleton", koramangala ,Bangalore,South Indian,700.0,INR,Yes,No,2.2,Red,Very Good,1487.0,Cafe,"1344 Bradford Meadows, Jessicamouth, ME 40505",001-050-916-4916x437
"Brewer, Beasley And Hamilton", indiranagar ,Bangalore,Mexican,700.0,INR,No,No,2.9,Red,Excellent,3166.0,Dessert Parlor,"7615 Andrew Trace Apt. 916, Kristyville, WI 44811",001-931-997-2621x5133
"Hayes, Crane And Anderson", whitefield ,Bangalore,Mexican,500.0,INR,Yes,No,4.3,Green,Good,4626.0,Delivery,"1244 Stephen Skyway, Albertmouth, UT 82347",151.055.7344x745
"Campbell, George And Brown", indiranagar ,Bangalore,Italian,200.0,INR,No,Yes,2.1,Red,Poor,8030.0,Delivery,"081 Erica Pine Apt. 688, West Natasha, PA 25084",001-625-368-7010x43347
Myers And Sons, jayanagar ,Bangalore,Italian,600.0,INR,Yes,Yes,3.7,Red,Excellent,2884.0,Casual Dining,"253 Tina Underpass Suite 610, Mariafurt, LA 42380",348.677.4775x303
Reyes-Stewart, jayanagar ,Bangalore,Continental,200.0,INR,No,No,4.2,Green,Average,5348.0,Cafe,"00179 Whitehead Manor, Lake Zacharyburgh, NJ 04209",+1-117-989-8291x215
"Ortega, Hicks And Rivera", koramangala ,Bangalore,South Indian,200.0,INR,Yes,No,2.2,Orange,Excellent,2940.0,Delivery,"0554 Jackson Vista, New James, AZ 73657",+1-650-507-5126x6454
Joseph Inc, hsr ,Bangalore,Chinese,700.0,INR,Yes,Yes,4.3,Red,Average,3102.0,Delivery,"947 Johnson Junction Suite 556, Emilyport, AR 78091",+1-242-817-0038x42410
Brown Llc, hsr ,Bangalore,Italian,448.9606039661864,INR,Yes,Yes,4.5,Green,Excellent,5554.0,Dessert Parlor,"045 Barbara Drives, Jasonmouth, FL 69806",752.936.3942x536
Morgan-Crosby, koramangala ,Bangalore,Continental,400.0,INR,No,Yes,4.7,Red,Excellent,2207.0,Delivery,"374 Cynthia Turnpike, Colefort, IL 42170",892.507.0644
Dennis-Cardenas, jayanagar ,Bangalore,Chinese,600.0,INR,No,No,4.6,Orange,Poor,8947.0,Cafe,"Unit 8536 Box 4983, DPO AP 44351",691.084.0445
Zimmerman-Chen, hsr ,Bangalore,Continental,448.9606039661864,INR,No,No,4.8,Green,Excellent,439.0,Delivery,"701 Robinson Brook Apt. 112, Nicolebury, ND 23790",001-629-833-4536x9499
"Franklin, Rodriguez And Owens", btm ,Bangalore,Italian,300.0,INR,No,Yes,4.2,Red,Good,8183.0,Delivery,"245 Peter Loop, East Gabriel, NV 82982",925-967-5877x12511
Fernandez-Davis, btm ,Bangalore,Unknown,600.0,INR,Yes,Yes,4.1,Red,Good,308.0,Quick Bites,"1451 Acosta River Suite 970, Port Steven, GA 87578",(046)176-4244
Mack Ltd, koramangala ,Bangalore,Mexican,500.0,INR,Yes,Yes,4.5,Yellow,Excellent,6640.0,Cafe,"2292 Petty Highway Suite 233, Port Toni, ME 64605",130-616-2928x818
"Medina, Young And Johnson", btm ,Bangalore,Mexican,200.0,INR,No,Yes,2.5,Red,Good,1761.0,Delivery,"908 Nelson Glens Suite 592, Dawnmouth, CO 71906",(614)715-9529x60739
"Miller, Thomas And Ballard", hsr ,Bangalore,Continental,600.0,INR,No,No,4.2,Orange,Average,460.0,Dessert Parlor,"3616 Andrew Passage, Stevefurt, WV 94107",571-186-4667
Payne-Young, jayanagar ,Bangalore,Mexican,600.0,INR,No,No,3.5,Green,Good,4102.0,Cafe,"569 Scott Drives Apt. 517, Castillomouth, ID 14426",276-113-2575x2503
"Miller, Phillips And Long", indiranagar ,Bangalore,Continental,400.0,INR,Yes,Yes,2.8,Orange,Average,7836.0,Dessert Parlor,"USCGC Harrison, FPO AE 79186",816.627.7744
"Martinez, Irwin And Lee", btm ,Bangalore,Mexican,500.0,INR,Yes,No,2.2,Orange,Average,3731.0,Quick Bites,"595 Jones Turnpike Suite 576, West Jonathanport, OK 90100",+1-454-615-7716x136
"Travis, Taylor And Haney", whitefield ,Bangalore,Chinese,400.0,INR,No,No,4.9,Yellow,Poor,735.0,Cafe,"98049 Wells Bypass, Timothyshire, NV 95143",8590517877
Anderson-Gallagher, koramangala ,Bangalore,North Indian,300.0,INR,Yes,No,3.0,Red,Excellent,5800.0,Cafe,"779 John Points Apt. 362, South David, LA 65708",(313)448-0754
Williamson-Smith, koramangala ,Bangalore,Mexican,448.9606039661864,INR,Yes,No,3.2,Red,Poor,4686.0,Quick Bites,"74704 Alexandra Ranch, Port Justin, DE 54821",+1-568-825-7425x650
Nelson And Sons, jayanagar ,Bangalore,Unknown,500.0,INR,No,Yes,2.7,Orange,Good,5497.0,Quick Bites,"870 Wood Prairie, Owensfort, NM 24838",-6388
Wallace Llc, koramangala ,Bangalore,Continental,200.0,INR,Yes,Yes,4.5,Yellow,Excellent,5397.0,Dessert Parlor,"088 Simmons Circles Apt. 520, Port Joseph, AR 50284",001-746-409-2071x256
"Patrick, Gaines And Vasquez", koramangala ,Bangalore,Mexican,400.0,INR,No,Yes,2.1,Red,Poor,952.0,Dessert Parlor,"USNS Reyes, FPO AE 61580",(355)037-9086x1198
"Haley, Jones And Bishop", btm ,Bangalore,Mexican,500.0,INR,Yes,No,2.2,Green,Good,7542.0,Cafe,"8722 Paul Plaza Suite 995, Gonzalezside, OK 33148",-10302
Payne Llc, koramangala ,Bangalore,Mexican,300.0,INR,Yes,No,3.0,Red,Excellent,8575.0,Cafe,"878 Dawn Summit, Lorishire, UT 52427",-7714
Mcmillan-Cooper, koramangala ,Bangalore,Mexican,448.9606039661864,INR,No,Yes,3.9,Orange,Excellent,8176.0,Dessert Parlor,"627 Amanda Rapid Apt. 028, Gonzaleschester, ND 72479",(384)803-0797x4079
Farmer Plc, btm ,Bangalore,Italian,500.0,INR,Yes,No,3.4,Green,Very Good,7733.0,Quick Bites,"Unit 8586 Box 7482, DPO AP 51446",357.937.5977
Shaw-Campbell, koramangala ,Bangalore,Chinese,400.0,INR,No,No,3.9,Yellow,Average,5022.522421052631,Delivery,"9303 Rogers Green Suite 812, Jenniferville, NC 66759",427.890.0316
Lee-Mccarthy, whitefield ,Bangalore,North Indian,448.9606039661864,INR,Yes,Yes,5.0,Green,Excellent,6278.0,Cafe,"20075 Tracey Valleys, North Ashlee, CT 42163",2511961309
"Carpenter, Haney And Sutton", whitefield ,Bangalore,North Indian,700.0,INR,No,No,4.2,Orange,Excellent,5022.522421052631,Dessert Parlor,"7575 Jonathon Gardens, Rochaport, AR 91325",001-522-254-6377x71575
"Rowe, Jones And Moran", btm ,Bangalore,South Indian,400.0,INR,Yes,Yes,3.4,Orange,Excellent,4917.0,Cafe,"42615 Brittany Key, Larrytown, IA 45486",7221702767
Leach Group, btm ,Bangalore,Mexican,400.0,INR,No,Yes,4.4,Yellow,Excellent,2549.0,Quick Bites,"66067 Krystal Mountains Suite 032, Christopherville, FL 91327",+1-821-520-4174x294
